sexo,ubigeo,nom_region,nom_provincia,nom_distrito,ocupinf,ingresos_totales,estudios,edad,anio,mes,estrato,tipo_contrato,tamanio_empresa,p507,p510
hombre,10103,AMAZONAS,CHACHAPOYAS,BALSAS,empleo informal,720,superior no universitaria completa,27,2020,1, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,empleo informal,150,primaria completa,25,2020,2, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,empleo informal,150,primaria completa,29,2020,2, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,empleo informal,500,primaria completa,54,2020,2, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10110,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,empleo informal,300,primaria completa,28,2020,2, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,empleo informal,200,secundaria incompleta,15,2020,3, de 500 a 1 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,empleo informal,720,primaria incompleta,43,2020,3, de 500 a 1 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10112,AMAZONAS,CHACHAPOYAS,MAGDALENA,empleo formal,2200,superior no universitaria completa,54,2020,3, de 500 a 1 999 habitantes,"contrato indefinido, nombrado, permanente",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10120,AMAZONAS,CHACHAPOYAS,SOLOCO,empleo informal,160,primaria incompleta,66,2020,3, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10201,AMAZONAS,BAGUA,LA PECA,empleo formal,2100,secundaria completa,68,2020,1, de 20 000 a 49 999 habitantes,"contrato indefinido, nombrado, permanente",m†s de 500 personas,obrero,administraci¢n p£blica
hombre,10201,AMAZONAS,BAGUA,LA PECA,empleo formal,4800,superior no universitaria completa,65,2020,1, de 20 000 a 49 999 habitantes,"contrato indefinido, nombrado, permanente",m†s de 500 personas,empleado,empresa p£blica
hombre,10202,AMAZONAS,BAGUA,ARAMANGO,empleo informal,150,secundaria incompleta,35,2020,2, µrea de empadronamiento rural (aer) compuesto,sin contrato,m†s de 500 personas,empleado,empresa o patrono privado
hombre,10203,AMAZONAS,BAGUA,COPALLIN,empleo informal,1680,secundaria completa,38,2020,1, de 500 a 1 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10203,AMAZONAS,BAGUA,COPALLIN,empleo informal,640,primaria completa,37,2020,1, de 500 a 1 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10203,AMAZONAS,BAGUA,COPALLIN,empleo formal,2470,superior universitaria completa,52,2020,1, de 500 a 1 999 habitantes,"contrato indefinido, nombrado, permanente",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10203,AMAZONAS,BAGUA,COPALLIN,empleo informal,1680,secundaria completa,40,2020,1, de 500 a 1 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10203,AMAZONAS,BAGUA,COPALLIN,empleo informal,600,secundaria completa,18,2020,1, de 500 a 1 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10205,AMAZONAS,BAGUA,IMAZA,empleo formal,4200,superior universitaria completa,40,2020,3, µrea de empadronamiento rural (aer) compuesto,,m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10205,AMAZONAS,BAGUA,IMAZA,empleo formal,2400,superior no universitaria completa,59,2020,3, µrea de empadronamiento rural (aer) compuesto,,m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10205,AMAZONAS,BAGUA,IMAZA,empleo formal,1000,superior universitaria completa,25,2020,3, µrea de empadronamiento rural (aer) compuesto,,m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10205,AMAZONAS,BAGUA,IMAZA,empleo informal,1500,superior no universitaria completa,34,2020,3, µrea de empadronamiento rural (aer) compuesto,,m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10302,AMAZONAS,BONGARA,CHISQUILLA,empleo informal,700,secundaria completa,18,2020,3, µrea de empadronamiento rural (aer) simple,sin contrato,hasta 20 personas,empleado,empresa o patrono privado
hombre,10302,AMAZONAS,BONGARA,CHISQUILLA,empleo informal,960,secundaria incompleta,28,2020,3, µrea de empadronamiento rural (aer) simple,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10302,AMAZONAS,BONGARA,CHISQUILLA,empleo informal,500,primaria completa,37,2020,3, µrea de empadronamiento rural (aer) simple,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10302,AMAZONAS,BONGARA,CHISQUILLA,empleo informal,1650,secundaria completa,19,2020,3, µrea de empadronamiento rural (aer) simple,sin contrato,de 51 a 100 personas,obrero,empresa o patrono privado
hombre,10304,AMAZONAS,BONGARA,COROSHA,empleo informal,1900,secundaria completa,30,2020,1, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10304,AMAZONAS,BONGARA,COROSHA,empleo informal,600,secundaria incompleta,38,2020,1, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10306,AMAZONAS,BONGARA,FLORIDA,empleo informal,200,secundaria completa,17,2020,1, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10306,AMAZONAS,BONGARA,FLORIDA,empleo informal,100,primaria completa,23,2020,1, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10306,AMAZONAS,BONGARA,FLORIDA,empleo informal,240,primaria incompleta,23,2020,1, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10306,AMAZONAS,BONGARA,FLORIDA,empleo formal,4700,superior no universitaria completa,41,2020,1, µrea de empadronamiento rural (aer) compuesto,regimen especial de contrataci¢n administrativa (cas),m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10306,AMAZONAS,BONGARA,FLORIDA,empleo informal,400,sin nivel,36,2020,1, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10306,AMAZONAS,BONGARA,FLORIDA,empleo formal,2500,superior no universitaria completa,54,2020,1, µrea de empadronamiento rural (aer) compuesto,contrato a plazo fijo (sujeto a modalidad),m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10306,AMAZONAS,BONGARA,FLORIDA,empleo informal,700,secundaria incompleta,48,2020,1, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10307,AMAZONAS,BONGARA,JAZAN,empleo formal,3800,superior no universitaria completa,51,2020,2,de 2 000 a 19 999 habitantes,"contrato indefinido, nombrado, permanente",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10307,AMAZONAS,BONGARA,JAZAN,empleo informal,960,secundaria completa,26,2020,3,de 2 000 a 19 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10307,AMAZONAS,BONGARA,JAZAN,empleo informal,1500,secundaria completa,50,2020,2,de 2 000 a 19 999 habitantes,contrato a plazo fijo (sujeto a modalidad),de 21 a 50 personas,obrero,empresa o patrono privado
hombre,10307,AMAZONAS,BONGARA,JAZAN,empleo formal,3800,maestria/doctorado,53,2020,2,de 2 000 a 19 999 habitantes,"contrato indefinido, nombrado, permanente",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10307,AMAZONAS,BONGARA,JAZAN,empleo formal,3000,superior no universitaria completa,40,2020,3,de 2 000 a 19 999 habitantes,regimen especial de contrataci¢n administrativa (cas),m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10307,AMAZONAS,BONGARA,JAZAN,empleo informal,960,secundaria incompleta,54,2020,3,de 2 000 a 19 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10307,AMAZONAS,BONGARA,JAZAN,empleo informal,840,secundaria completa,47,2020,2,de 2 000 a 19 999 habitantes,sin contrato,hasta 20 personas,empleado,empresa o patrono privado
hombre,10312,AMAZONAS,BONGARA,YAMBRASBAMBA,empleo informal,400,secundaria incompleta,38,2020,3,de 2 000 a 19 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10312,AMAZONAS,BONGARA,YAMBRASBAMBA,empleo informal,200,primaria incompleta,60,2020,3,de 2 000 a 19 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10312,AMAZONAS,BONGARA,YAMBRASBAMBA,empleo informal,400,secundaria incompleta,42,2020,3,de 2 000 a 19 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10401,AMAZONAS,CONDORCANQUI,NIEVA,empleo informal,1000,secundaria completa,21,2020,2,de 2 000 a 19 999 habitantes,"contrato por locaci¢n de servicios (honorarios profesionales, ruc), snp",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10401,AMAZONAS,CONDORCANQUI,NIEVA,empleo informal,1500,superior no universitaria completa,39,2020,2,de 2 000 a 19 999 habitantes,"contrato por locaci¢n de servicios (honorarios profesionales, ruc), snp",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10402,AMAZONAS,CONDORCANQUI,EL CENEPA,empleo informal,600,secundaria incompleta,32,2020,2, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,empleado,empresa o patrono privado
hombre,10403,AMAZONAS,CONDORCANQUI,RIO SANTIAGO,empleo informal,300,secundaria completa,16,2020,3, µrea de empadronamiento rural (aer) compuesto,sin contrato,de 21 a 50 personas,obrero,empresa o patrono privado
hombre,10501,AMAZONAS,LUYA,LAMUD,empleo informal,200,superior no universitaria completa,31,2020,1,de 2 000 a 19 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10501,AMAZONAS,LUYA,LAMUD,empleo informal,480,primaria completa,43,2020,1,de 2 000 a 19 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10501,AMAZONAS,LUYA,LAMUD,empleo informal,600,primaria completa,40,2020,1,de 2 000 a 19 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10501,AMAZONAS,LUYA,LAMUD,empleo informal,400,superior no universitaria incompleta,20,2020,1,de 2 000 a 19 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10502,AMAZONAS,LUYA,CAMPORREDONDO,empleo informal,400,primaria incompleta,33,2020,2, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10502,AMAZONAS,LUYA,CAMPORREDONDO,empleo informal,500,primaria incompleta,51,2020,3,de 2 000 a 19 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10502,AMAZONAS,LUYA,CAMPORREDONDO,empleo informal,720,primaria completa,43,2020,2, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10502,AMAZONAS,LUYA,CAMPORREDONDO,empleo informal,400,primaria completa,26,2020,2, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,empleado,empresa o patrono privado
hombre,10502,AMAZONAS,LUYA,CAMPORREDONDO,empleo informal,560,superior no universitaria completa,35,2020,3,de 2 000 a 19 999 habitantes,sin contrato,hasta 20 personas,empleado,empresa o patrono privado
hombre,10503,AMAZONAS,LUYA,COCABAMBA,empleo informal,160,primaria incompleta,27,2020,2, µrea de empadronamiento rural (aer) simple,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10503,AMAZONAS,LUYA,COCABAMBA,empleo informal,30,secundaria incompleta,15,2020,2, µrea de empadronamiento rural (aer) simple,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10503,AMAZONAS,LUYA,COCABAMBA,empleo informal,300,primaria incompleta,25,2020,2, µrea de empadronamiento rural (aer) simple,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10510,AMAZONAS,LUYA,LUYA VIEJO,empleo informal,1100,primaria completa,49,2020,3, de 500 a 1 999 habitantes,sin contrato,de 51 a 100 personas,obrero,empresa o patrono privado
hombre,10510,AMAZONAS,LUYA,LUYA VIEJO,empleo informal,1240,superior no universitaria incompleta,21,2020,3, de 500 a 1 999 habitantes,sin contrato,de 21 a 50 personas,obrero,empresa o patrono privado
hombre,10510,AMAZONAS,LUYA,LUYA VIEJO,empleo informal,480,secundaria incompleta,20,2020,3, de 500 a 1 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10513,AMAZONAS,LUYA,OCUMAL,empleo informal,50,superior no universitaria incompleta,20,2020,1, µrea de empadronamiento rural (aer) simple,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10513,AMAZONAS,LUYA,OCUMAL,empleo formal,2500,superior no universitaria completa,54,2020,1, µrea de empadronamiento rural (aer) compuesto,"contrato indefinido, nombrado, permanente",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10513,AMAZONAS,LUYA,OCUMAL,empleo informal,180,secundaria incompleta,17,2020,1, µrea de empadronamiento rural (aer) simple,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10513,AMAZONAS,LUYA,OCUMAL,empleo informal,300,secundaria completa,27,2020,1, µrea de empadronamiento rural (aer) simple,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10520,AMAZONAS,LUYA,SANTA CATALINA,empleo informal,600,primaria completa,38,2020,1, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10521,AMAZONAS,LUYA,SANTO TOMAS,empleo informal,100,primaria completa,14,2020,3, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10521,AMAZONAS,LUYA,SANTO TOMAS,empleo informal,250,primaria completa,21,2020,3, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10521,AMAZONAS,LUYA,SANTO TOMAS,empleo informal,300,primaria completa,30,2020,3, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10601,AMAZONAS,RODR÷GUEZ DE MENDOZA,SAN NICOLAS,empleo formal,2500,superior no universitaria completa,28,2020,3,de 2 000 a 19 999 habitantes,contrato a plazo fijo (sujeto a modalidad),m†s de 500 personas,empleado,empresa o patrono privado
hombre,10601,AMAZONAS,RODR÷GUEZ DE MENDOZA,SAN NICOLAS,empleo formal,1300,superior no universitaria completa,31,2020,3,de 2 000 a 19 999 habitantes,regimen especial de contrataci¢n administrativa (cas),m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10605,AMAZONAS,RODR÷GUEZ DE MENDOZA,LIMABAMBA,empleo informal,200,primaria completa,18,2020,1, µrea de empadronamiento rural (aer) simple,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10609,AMAZONAS,RODR÷GUEZ DE MENDOZA,OMIA,empleo informal,1000,primaria completa,45,2020,2, de 500 a 1 999 habitantes,sin contrato,hasta 20 personas,empleado,empresa o patrono privado
hombre,10609,AMAZONAS,RODR÷GUEZ DE MENDOZA,OMIA,empleo formal,1903,superior no universitaria incompleta,61,2020,2, de 500 a 1 999 habitantes,"contrato indefinido, nombrado, permanente",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,empleo informal,300,primaria completa,51,2020,1, de 20 000 a 49 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,empleo informal,120,secundaria completa,24,2020,1, de 20 000 a 49 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,empleo informal,800,secundaria completa,19,2020,1, de 20 000 a 49 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,empleo informal,480,primaria incompleta,65,2020,2, de 20 000 a 49 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,empleo informal,800,secundaria completa,25,2020,1, de 20 000 a 49 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10701,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,empleo informal,150,primaria completa,17,2020,1, de 20 000 a 49 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10702,AMAZONAS,UTCUBAMBA,CAJARURO,empleo informal,400,secundaria completa,30,2020,3, µrea de empadronamiento rural (aer) simple,,hasta 20 personas,obrero,empresa o patrono privado
hombre,10702,AMAZONAS,UTCUBAMBA,CAJARURO,empleo informal,800,primaria completa,53,2020,3, µrea de empadronamiento rural (aer) simple,,hasta 20 personas,obrero,empresa o patrono privado
hombre,10702,AMAZONAS,UTCUBAMBA,CAJARURO,empleo informal,480,secundaria completa,21,2020,3, µrea de empadronamiento rural (aer) simple,,hasta 20 personas,obrero,empresa o patrono privado
hombre,10702,AMAZONAS,UTCUBAMBA,CAJARURO,empleo informal,180,secundaria completa,17,2020,3, µrea de empadronamiento rural (aer) simple,,hasta 20 personas,obrero,empresas especiales de servicios (service)
hombre,10702,AMAZONAS,UTCUBAMBA,CAJARURO,empleo informal,560,primaria completa,58,2020,3, µrea de empadronamiento rural (aer) simple,,hasta 20 personas,obrero,empresa o patrono privado
hombre,10702,AMAZONAS,UTCUBAMBA,CAJARURO,empleo informal,720,primaria incompleta,53,2020,3, µrea de empadronamiento rural (aer) simple,,hasta 20 personas,obrero,empresa o patrono privado
hombre,10702,AMAZONAS,UTCUBAMBA,CAJARURO,empleo informal,480,primaria incompleta,65,2020,3, µrea de empadronamiento rural (aer) simple,,hasta 20 personas,obrero,empresa o patrono privado
hombre,10702,AMAZONAS,UTCUBAMBA,CAJARURO,empleo informal,140,secundaria completa,28,2020,3, µrea de empadronamiento rural (aer) simple,,hasta 20 personas,obrero,empresa o patrono privado
hombre,10702,AMAZONAS,UTCUBAMBA,CAJARURO,empleo informal,480,primaria completa,52,2020,3, µrea de empadronamiento rural (aer) simple,,hasta 20 personas,obrero,empresa o patrono privado
hombre,10702,AMAZONAS,UTCUBAMBA,CAJARURO,empleo informal,480,secundaria completa,45,2020,3, µrea de empadronamiento rural (aer) simple,,hasta 20 personas,obrero,empresa o patrono privado
hombre,10703,AMAZONAS,UTCUBAMBA,CUMBA,empleo informal,150,secundaria incompleta,15,2020,2, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,10706,AMAZONAS,UTCUBAMBA,LONYA GRANDE,empleo informal,600,superior universitaria incompleta,22,2020,3,de 2 000 a 19 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,20101,ANCASH,HUARAZ,HUARAZ,empleo informal,3000,superior universitaria completa,37,2020,2, de 50 000 a 99 999 habitantes,"contrato por locaci¢n de servicios (honorarios profesionales, ruc), snp",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,20101,ANCASH,HUARAZ,HUARAZ,empleo formal,3000,secundaria completa,23,2020,2, de 50 000 a 99 999 habitantes,,,empleado,"fuerzas armadas, polic°a nacional del per£ (militares)"
hombre,20101,ANCASH,HUARAZ,HUARAZ,empleo formal,2250,superior universitaria incompleta,31,2020,2, de 50 000 a 99 999 habitantes,contrato a plazo fijo (sujeto a modalidad),hasta 20 personas,empleado,empresa o patrono privado
hombre,20101,ANCASH,HUARAZ,HUARAZ,empleo formal,3400,superior no universitaria completa,34,2020,2, de 50 000 a 99 999 habitantes,contrato a plazo fijo (sujeto a modalidad),de 51 a 100 personas,obrero,empresa o patrono privado
hombre,20101,ANCASH,HUARAZ,HUARAZ,empleo informal,1100,superior universitaria incompleta,26,2020,2, de 50 000 a 99 999 habitantes,"contrato por locaci¢n de servicios (honorarios profesionales, ruc), snp",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,20101,ANCASH,HUARAZ,HUARAZ,empleo formal,1850,superior universitaria incompleta,38,2020,1, de 50 000 a 99 999 habitantes,regimen especial de contrataci¢n administrativa (cas),m†s de 500 personas,empleado,administraci¢n p£blica
hombre,20101,ANCASH,HUARAZ,HUARAZ,empleo informal,3000,superior universitaria completa,32,2020,2, de 50 000 a 99 999 habitantes,"contrato por locaci¢n de servicios (honorarios profesionales, ruc), snp",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,20101,ANCASH,HUARAZ,HUARAZ,empleo informal,900,superior universitaria incompleta,30,2020,1, de 50 000 a 99 999 habitantes,sin contrato,hasta 20 personas,empleado,empresa o patrono privado
hombre,20105,ANCASH,HUARAZ,INDEPENDENCIA,empleo informal,840,secundaria incompleta,61,2020,3, de 50 000 a 99 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,20105,ANCASH,HUARAZ,INDEPENDENCIA,empleo informal,318,secundaria incompleta,15,2020,1, de 50 000 a 99 999 habitantes,sin contrato,hasta 20 personas,empleado,empresa o patrono privado
hombre,20105,ANCASH,HUARAZ,INDEPENDENCIA,empleo formal,1500,superior universitaria completa,32,2020,3, de 50 000 a 99 999 habitantes,contrato a plazo fijo (sujeto a modalidad),de 101 a 500 personas,empleado,empresas especiales de servicios (service)
hombre,20105,ANCASH,HUARAZ,INDEPENDENCIA,empleo formal,2000,superior no universitaria completa,28,2020,1, de 50 000 a 99 999 habitantes,contrato a plazo fijo (sujeto a modalidad),de 101 a 500 personas,empleado,empresa o patrono privado
hombre,20105,ANCASH,HUARAZ,INDEPENDENCIA,empleo informal,1500,secundaria completa,51,2020,3, de 50 000 a 99 999 habitantes,contrato a plazo fijo (sujeto a modalidad),de 21 a 50 personas,obrero,empresa o patrono privado
hombre,20105,ANCASH,HUARAZ,INDEPENDENCIA,empleo formal,2808,superior no universitaria completa,51,2020,3, de 50 000 a 99 999 habitantes,contrato a plazo fijo (sujeto a modalidad),m†s de 500 personas,empleado,empresa o patrono privado
hombre,20105,ANCASH,HUARAZ,INDEPENDENCIA,empleo informal,217,superior universitaria incompleta,20,2020,1, de 50 000 a 99 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,20105,ANCASH,HUARAZ,INDEPENDENCIA,empleo informal,600,secundaria completa,18,2020,3, de 50 000 a 99 999 habitantes,sin contrato,hasta 20 personas,empleado,empresa o patrono privado
hombre,20105,ANCASH,HUARAZ,INDEPENDENCIA,empleo formal,2350,superior no universitaria completa,43,2020,1, de 50 000 a 99 999 habitantes,"contrato indefinido, nombrado, permanente",de 51 a 100 personas,obrero,empresa o patrono privado
hombre,20105,ANCASH,HUARAZ,INDEPENDENCIA,empleo formal,1605,secundaria completa,41,2020,3, de 50 000 a 99 999 habitantes,"contrato indefinido, nombrado, permanente",de 21 a 50 personas,obrero,empresa o patrono privado
hombre,20105,ANCASH,HUARAZ,INDEPENDENCIA,empleo informal,1400,secundaria completa,24,2020,3, de 50 000 a 99 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,20201,ANCASH,AIJA,AIJA,empleo informal,450,secundaria completa,19,2020,3, de 500 a 1 999 habitantes,sin contrato,hasta 20 personas,empleado,empresa o patrono privado
hombre,20201,ANCASH,AIJA,AIJA,empleo formal,2200,secundaria completa,34,2020,3, de 500 a 1 999 habitantes,contrato a plazo fijo (sujeto a modalidad),de 101 a 500 personas,obrero,empresas especiales de servicios (service)
hombre,20306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,empleo formal,2321,superior no universitaria completa,60,2020,1, µrea de empadronamiento rural (aer) compuesto,"contrato indefinido, nombrado, permanente",m†s de 500 personas,empleado,administraci¢n p£blica
hombre,20306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,empleo informal,120,secundaria incompleta,14,2020,1, µrea de empadronamiento rural (aer) compuesto,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,20401,ANCASH,ASUNCI‡N,CHACAS,empleo informal,779,secundaria incompleta,43,2020,2, de 500 a 1 999 habitantes,sin contrato,hasta 20 personas,obrero,empresa o patrono privado
hombre,20401,ANCASH,ASUNCI‡N,CHACAS,empleo formal,1200,superior no universitaria completa,36,2020,2, de 500 a 1 999 habitantes,regimen especial de contrataci¢n administrativa (cas),m†s de 500 personas,empleado,administraci¢n p£blica
